2355|Landwasser - Davos, Frauenkirch|2779611|1181209
2343|Langeten - Huttwil, H&#228;berenbad|2629581|1219138
2484|Lauerzersee - Lauerz, Chlostermatt|2688050|1209522
2410|Liechtensteiner Binnenkanal - Ruggell|2757758|1234597
2243|Limmat - Baden, Limmatpromenade|2665650|1258684
2099|Limmat - Z&#252;rich, Unterhard|2682058|1249430
2352|Linth - Linthal, Ausgleichsbecken KLL, nur Haupt|2718287|1197310
2372|Linth - Mollis, Linthbr&#252;cke|2723985|1217967
2104|Linth - Weesen, Bi&#228;sche|2725173|1221385
2269|Lonza - Blatten|2629128|1140919
2125|Lorze - Frauenthal|2674714|1229851
2477|Lorze - Zug, Letzi|2682409.93|1225162.09
2497|Luthern - Nebikon|2640566|1226717
2109|L&#252;tschine - Gsteig|2633140|1168191
2475|Maggia - Bignasco, Ponte nuovo|2682434.99|1132141.67
2368|Maggia - Locarno, Solduno|2703102|1113894
2461|Magliasina - Magliaso, Ponte|2711622|1093292
2161|Massa - Blatten bei Naters|2643694|1137291
2206|Melera - Melera (Valle Morobbia)|2726984|1114671
2369|Mentue - Yvonand, La Mauguettaz|2545448|1180869
2620|Mera - Soglio|2764114.31|1130360.2
2300|Minster - Euthal, R&#252;ti|2704427|1215308
2420|Moesa - Lumino, Sassello|2724766|1120347
2309|M&#252;hlebach - Horn, Farbm&#252;hle|2752890|1261823
2084|Muota - Ingenbohl|2688267|1206169
2386|Murg - Frauenfeld|2709540|1269680
2471|Murg - Murgenthal, Walliswil|
2126|Murg - W&#228;ngi|2714098|1261728
2374|Necker - Mogelsberg, Aachs&#228;ge|2727103|1247295
2632|Obertorer M&#252;hlbach - Chur|2760059|1190378
2371|Orbe - Le Chenit, Frontière|2501436|1156314
2378|Orbe - Orbe, Le Chalet|2530033|1175575
2319|Ova da Cluozza - Zernez|2804935|1174831
2304|Ova dal Fuorn - Zernez, Punt la Drossa|2810564|1170779
2437|Parimbot - Ecublens, Eschiens|2552067|1161656
2185|Plessur - Chur, nur Hauptstation|2757913|1191990
2366|Poschiavino - La R&#246;sa|2802113|1142012
2078|Poschiavino - Le Prese, stazione principale|2803501|1130509
2493|Promenthouse - Gland, Route Suisse|2510069|1140084
2283|Rappengraben - Wasen, Riedbad|2634340|1207354
2430|Rein da Sumvitg - Sumvitg, Encardens|2718793|1167699
2087|Reuss - Andermatt|2688123|1166323
2152|Reuss - Luzern, Geissmattbr&#252;cke|2665335|1211792
2018|Reuss - Mellingen|2662835|1252577
2110|Reuss - M&#252;hlau, H&#252;nenberg|2672519|1230703
2056|Reuss - Seedorf|2690083|1193233
2130|Rhein (Oberwasser) - Laufenburg|2646057|1267480
2392|Rhein (Oberwasser) - Rheinau|2687416|1277146
2615|Rhein - Basel, Klingenthalf&#228;hre|2611138|1267897
2289|Rhein - Basel, Rheinhalle|2613389|1267678
2473|Rhein - Diepoldsau, Rietbr&#252;cke|2766305|1250371
2602|Rhein - Domat/Ems|2753890|1189374
2116|Rhein - Koblenz|2659792|1273327
2288|Rhein - Neuhausen, Flurlingerbr&#252;cke|2689140|1281987
2041|Rhein - Oberriet, Blatten|2761211|1241764
2143|Rhein - Rekingen|2667045|1269233
2091|Rhein - Rheinfelden, Messstation|2627189|1267845
2613|Rhein - Weil, Palmrainbr&#252;cke|2611732|1272316
2139|Rheintaler Binnenkanal - St. Margrethen|2767194|1257809
2024|Rh&#244;ne - Branson|2573140|1108298
2346|Rhone - Brig|2641347|1129701
2174|Rh&#244;ne - Chancy, Aux Ripes|2486603|1112335
2217|Rh&#244;ne - Chancy, Vers Vaux|2485440|1110040
2606|Rh&#244;ne - Genève, Halle de l &#39;île|2499890|1117850
2268|Rhone - Gletsch|2670412.89|1156899.07
2623|Rhone - Oberwald|2669857|1154077
2009|Rh&#244;ne - Porte du Scex|2557649|1133284
2419|Rhone - Reckingen|2661914|1146786
2011|Rh&#244;ne - Sion|2593742|1118631
2356|Riale di Calneggia - Cavergno, Pontit|2684982|1135954
2612|Riale di Pincascia - Lavertezzo|2708048|1123956
2347|Riale di Roggiasca - Roveredo, Bacino di compenso|2733613.83|1117922.26
2414|Rietholzbach - Mosnang, Rietholz|2718825|1248448
2617|Rom - M&#252;stair|2830800|1168706
2256|Rosegbach - Pontresina|2788796|1151692
2251|Rotenbach - Plaffeien, Schwyberg|2587986|1170584
2467|Saane - G&#252;mmenen|2586627.88|1199147.46
2215|Saane - Laupen|2584454|1195370
2342|Saltina - Brig|2642139|1129661
2160|Sarine - Broc, Château d &#39;en bas|2573520|1161341
2119|Sarine - Fribourg|2579428|1183666
2102|Sarner Aa - Sarnen|2661464|1194228
2088|Sarnersee - Sarnen|2661262|1193260
2491|Sch&#228;chen - B&#252;rglen, Galgenw&#228;ldli, nur Hauptstation|2692489|1191802
2610|Scheulte - Vicques|2599489|1244153
2499|Schlichenden Br&#252;nnen - Muotathal|2702403|1203330
2252|Schw&#228;ndlibach - Plaffeien, Schwyberg|2588348|1171022
2426|Seez - Mels|2750414|1212512
2608|Sellenbodenbach - Neuenkirch|2658557|1218252
2168|Sempachersee - Sempach|2656939|1220647
2179|Sense - Th&#246;rishaus, Sensematt|2593339|1193042
2458|Seyon - Valangin|2559353|1206856
2176|Sihl - Z&#252;rich, Sihlh&#246;lzli|2682137|1246891
2072|Silsersee - Sils Baselgia|2777824|1145163
2073|Silvaplanersee - Silvaplana|2782325|1149472
2488|Simme - Latterbach, nur Hauptstation|2610681|1167849
2219|Simme - Oberried / Lenk|2602750|1141621
2151|Simme - Oberwil|2600061|1167090
2412|Sionge - Vuippens, Château|2572431|1167531
2630|Sionne - Sion|2594411|1119889
2112|Sitter - Appenzell|2749036|1244216
2468|Sitter - St. Gallen, Bruggen / Au|2742544|1253230
2479|Sorne - Delémont|2593520|1246290
2640|Sorne - Delémont|2593388|1245937
2282|Sperbelgraben - Wasen, Kurzeneialp|2630725|1207272
2239|Sp&#246;l - Punt dal Gall|2811025|1167840
2066|St. Moritzersee - St. Moritz|2784932|1152417
2157|Strackbach - Gerlafingen|2609256|1223287
2417|Suhre - Oberkirch|2651316|1223140
2307|Suze - Sonceboz|2579823|1227344
2093|Thunersee - Spiez, Kraftwerk BKW|2617287|1171756
2044|Thur - Andelfingen|2693500|1272506
2181|Thur - Halden|2733558|1263185
2303|Thur - Jonschwil, M&#252;hlau|2723683|1252722
2020|Ticino - Bellinzona|2721260|1117079
2364|Ticino - Piotta|2694593|1152447
2494|Ticino - Pollegio, Campagna|2716163|1135318
2068|Ticino - Riazzino|2713644|1113501
2132|T&#246;ss - Neftenbach|2691490|1263809
2167|Tresa - Ponte Tresa, Rocchetta|2709581|1092143
2463|Vecchio Vedeggio - Bioggio, Campagna|2714355|1096611
2629|Vedeggio - Agno, stazione principale|2714116|1095701
2432|Venoge - Ecublens, Les Bois|2532024|1154166
2605|Verzasca - Lavertezzo, Campiòi|2708425|1122925
2486|Veveyse - Vevey, Copet|2554624|1146555
2351|Vispa - Visp|2634026|1125901
2033|Vorderrhein - Ilanz|2734998|1182035
2118|Walensee - Murg|2734452|1219548
2200|Weisse L&#252;tschine - Zweil&#252;tschinen|2635309|1164547
2187|Werdenberger Binnenkanal - Salez|2756796|1234014
2156|Werkkanal - Gerlafingen|2608785|1223662
2199|Wiese - Basel|2611808|1269699
2450|Wigger - Zofingen|2637585|1237078
2500|Worble - Ittigen|2602996|1202474
2446|Zihlkanal - Gampelen, Zihlbr&#252;cke|2569241|1207849
